fid,title,hint, common, autocomplete, required, weight, visible,field name,type,width,maxlength
1,Authors,,1,1,1,1,1,biblio_contributors,contrib_widget,60,255
2,Secondary Title,,0,0,0,12,0,biblio_secondary_title,textfield,60,255
3,Tertiary Title,,0,0,0,13,0,biblio_tertiary_title,textfield,60,255
4,Accession Number,,1,0,0,151,1,biblio_accession_number,textfield,24,24
5,ISBN Number,,1,0,0,150,1,biblio_isbn,textfield,24,24
6,Call Number,,1,0,0,152,1,biblio_call_number,textfield,24,24
7,Other Numbers,,1,0,0,153,1,biblio_other_number,textfield,10,24
8,Other Author Affiliations,,0,0,0,24,0,biblio_other_author_affiliations,textfield,60,255
9,Publisher,,0,0,0,19,0,biblio_publisher,textfield,60,255
10,Place Published,,0,0,0,20,0,biblio_place_published,textfield,60,255
11,Year of Publication,(yyyy),1,0,1,-45,1,biblio_year,textfield,4,4
12,Edition,,0,0,0,15,0,biblio_edition,textfield,60,255
13,Volume,,0,0,0,14,0,biblio_volume,textfield,10,10
14,Number,,0,0,0,16,0,biblio_number,textfield,10,10
15,Pagination,,0,0,0,17,0,biblio_pages,textfield,24,128
16,Date Published,(mm/yyyy),0,0,0,18,0,biblio_date,textfield,16,16
17,Publication Language,,0,0,0,23,0,biblio_lang,textfield,24,24
18,Abstract,,1,0,0,155,1,biblio_abst_e,textarea,60,65535
19,French Abstract,,0,0,0,156,0,biblio_abst_f,textarea,60,65535
20,Key Words,,0,0,0,154,0,biblio_keywords,textfield,60,255
21,Type of Work,Masters Thesis,0,0,0,22,0,biblio_type_of_work,textfield,60,255
22,URL,,1,0,0,158,1,biblio_url,textfield,60,255
23,Notes,,0,0,0,157,0,biblio_notes,textarea,60,65535
24,Issue,,0,0,0,15,0,biblio_issue,textfield,10,10
25,Reseach Notes,,0,0,0,160,0,biblio_research_notes,textarea,60,65535
26,Custom 1,,0,0,0,161,0,biblio_custom1,textarea,60,65535
27,Custom 2,,0,0,0,162,0,biblio_custom2,textarea,60,65535
28,Custom 3,,0,0,0,163,0,biblio_custom3,textarea,60,65535
29,Custom 4,,0,0,0,164,0,biblio_custom4,textarea,60,65535
30,Custom 5,,0,0,0,165,0,biblio_custom5,textarea,60,65535
31,Custom 6,,0,0,0,167,0,biblio_custom6,textarea,60,65535
32,Custom 7,,0,0,0,168,0,biblio_custom7,textarea,60,65535
33,Number of Volumes,,0,0,0,15,0,biblio_number_of_volumes,textfield,10,10
34,Short Title,,0,0,0,169,0,biblio_short_title,textfield,60,255
35,Alternate Title,,0,0,0,170,0,biblio_alternate_title,textfield,60,255
36,Translated Title,,0,0,0,170,0,biblio_translated_title,textfield,60,255
37,Original Publication,,0,0,0,171,0,biblio_original_publication,textfield,60,255
38,Reprint Edition,,0,0,0,172,0,biblio_reprint_edition,textfield,120,255
39,Section,,0,0,0,15,0,biblio_section,textfield,10,10
40,Citation Key,,0,0,0,175,0,biblio_citekey,textfield,16,255
41,COinS Data,This will be automatically generated,0,0,0,176,0,biblio_coins,textarea,60,65535
42,ISSN Number,,0,0,0,150,0,biblio_issn,textfield,24,24
43,DOI,,1,0,0,159,1,biblio_doi,textfield,60,255
44,Author Address,,0,0,0,178,0,biblio_auth_address,textarea,60,65535
45,Remote Database Name,,0,0,0,176,0,biblio_remote_db_name,textfield,60,255
46,Remote Database Provider,,0,0,0,177,0,biblio_remote_db_provider,textfield,60,255
47,Label,,0,0,0,178,0,biblio_label,textfield,60,255
48,Access Date,,0,0,0,179,0,biblio_access_date,textfield,60,255
